plateID,New Code,Pop Defined,State,State Name,Pop Names,EstuaryLocal,Latitude,Longitude
M12,NcFR04,North River Estuary,North Carolina,North Carolina,North River Estuary,NA,35.527953,-77.040036
M16,CHLS24,Charleston Harbor (Landward),South Carolina,South Carolina,Charleston Harbor,Inland,32.81348,-79.90776
M17,BRHS04,Broad River (Seaward),South Carolina,South Carolina,Broad River,Coastal,32.2507,-80.69827
N01,SHHS15,St. Helena (Seaward),South Carolina,South Carolina,St. Helena,Coastal,32.34418,-80.46648
N02,FlSB01,St. Teresa Beach,St. Teresa Beach,Florida,St. Teresa Beach,NA,29.915834,-84.510613
N03,VaWA29,Wachapreague,Virginia,Virginia,Wachapreague,NA,37.607754,-75.685962
N04,NcMV15,Mitchells Village,North Carolina,North Carolina,Mitchells Village,NA,34.725394,-76.78862
N05,BBHS32,Bulls Bay,South Carolina,South Carolina,Bulls Bay,Coastal,33.03834,-79.56071
N06,MaWF54,Wellfleet,Massachusetts,Massachusetts,Wellfleet,NA,41.909405,-69.997144
N07,CHLS13,Charleston Harbor (Landward),South Carolina,South Carolina,Charleston Harbor,Inland,32.81348,-79.90776
N08,BBHS34,Bulls Bay,South Carolina,South Carolina,Bulls Bay,Coastal,33.03834,-79.56071
N10,VaWA02,Wachapreague,Virginia,Virginia,Wachapreague,NA,37.607754,-75.685962
N11,BRLS15,Broad River (Landward),South Carolina,South Carolina,Broad River,Inland,32.39161,-80.77629
N13,CHHS03,Charleston Harbor (Seaward),South Carolina,South Carolina,Charleston Harbor,Coastal,32.75214,-79.89753
N14,BRHS09,Broad River (Seaward),South Carolina,South Carolina,Broad River,Coastal,32.2507,-80.69827
N15,WBHS38,Winyah Bay,South Carolina,South Carolina,Winyah Bay,Coastal,33.44009,-79.11704
N16,FlSB16,St. Teresa Beach,St. Teresa Beach,Florida,St. Teresa Beach,NA,29.915834,-84.510613
N18,CHHS05,Charleston Harbor (Seaward),South Carolina,South Carolina,Charleston Harbor,Coastal,32.75214,-79.89753
N19,SHHS03,St. Helena (Seaward),South Carolina,South Carolina,St. Helena,Coastal,32.34418,-80.46648
O01,FlSB14,St. Teresa Beach,St. Teresa Beach,Florida,St. Teresa Beach,NA,29.915834,-84.510613
O02,NcFR12,North River Estuary,North Carolina,North Carolina,North River Estuary,NA,35.527953,-77.040036
O03,CHHS10,Charleston Harbor (Seaward),South Carolina,South Carolina,Charleston Harbor,Coastal,32.75214,-79.89753
O04,VaWA03,Wachapreague,Virginia,Virginia,Wachapreague,NA,37.607754,-75.685962
O05,NcMV11,Mitchells Village,North Carolina,North Carolina,Mitchells Village,NA,34.725394,-76.78862
O06,FlAM04,Amelia Island,Amelia Island,Florida,Amelia Island,NA,30.66833,-81.429888
O07,NjRG16,Rutgers,New Jersey,New Jersey,Rutgers,NA,39.07372,-74.91222
O10,MaDB04,Duxbury,Massachusetts,Massachusetts,Duxbury,NA,42.04647,-70.65025
O11,NcMV43,Mitchells Village,North Carolina,North Carolina,Mitchells Village,NA,34.725394,-76.78862
O12,BRLS10,Broad River (Landward),South Carolina,South Carolina,Broad River,Inland,32.39161,-80.77629
O13,CHHS16,Charleston Harbor (Seaward),South Carolina,South Carolina,Charleston Harbor,Coastal,32.75214,-79.89753
O14,MaWF52,Wellfleet,Massachusetts,Massachusetts,Wellfleet,NA,41.909405,-69.997144
O15,CHHS48,Charleston Harbor (Seaward),South Carolina,South Carolina,Charleston Harbor,Coastal,32.75214,-79.89753
O18,VaWA07,Wachapreague,Virginia,Virginia,Wachapreague,NA,37.607754,-75.685962
P01,CHLS04,Charleston Harbor (Landward),South Carolina,South Carolina,Charleston Harbor,Inland,32.39161,-80.77629
P03,MaWF56,Wellfleet,Massachusetts,Massacusetts,Wellfleet,NA,41.909405,-69.997144
P04,WBHS44,Winyah Bay,South Carolina,South Carolina,Winyah Bay,Coastal,33.44009,-79.11704
P05,FlSB08,St. Teresa Beach,St. Teresa Beach,Florida,St. Teresa Beach,NA,29.915834,-84.510613
P06,WBHS36,Winyah Bay,South Carolina,South Carolina,Winyah Bay,Coastal,33.44009,-79.11704
P07,CHLS29,Charleston Harbor (Landward),South Carolina,South Carolina,Charleston Harbor,Inland,32.39161,-80.77629
P08,FlSB17,St. Teresa Beach,St. Teresa Beach,Florida,St. Teresa Beach,NA,29.915834,-84.510613
P09,BRLS18,Broad River (Landward),South Carolina,South Carolina,Broad River,Inland,32.39161,-80.77629
P10,FlFP03,Fort Pierce,Fort Pierce,Florida,Fort Pierce,NA,27.4575,-80.306
P11,SHLS26,St. Helena (Landward),South Carolina,South Carolina,St. Helena,Inland,32.50119,-80.67869
P12,CHLS30,Charleston Harbor (Landward),South Carolina,South Carolina,Charleston Harbor,Inland,32.39161,-80.77629
P15,WBHS56,Winyah Bay,South Carolina,South Carolina,Winyah Bay,Coastal,33.44009,-79.11704
P17,BRHS20,Broad River (Seaward),South Carolina,South Carolina,Broad River,Coastal,32.2507,-80.69827
P18,FlSB09,St. Teresa Beach,St. Teresa Beach,Florida,St. Teresa Beach,NA,29.915834,-84.510613
P19,SHHS06,St. Helena (Seaward),South Carolina,South Carolina,St. Helena,Coastal,32.34418,-80.46648
