accession	message	sample_name	sample_title	bioproject_accession	organism	isolate	breed	host	isolation_source	collection_date	geo_loc_name	tissue	age	altitude	biomaterial_provider	collected_by	depth	dev_stage	env_broad_scale	host_tissue_sampled	identified_by	lat_lon	sex	specimen_voucher	temp	description
SAMN41062471	Successfully loaded	NcFR08			Diopatra cuprea	143			estuary	2012	USA:North River Estuary North Carolina	body														
SAMN41062472	Successfully loaded	BRLS01			Diopatra cuprea	144			estuary	2022	USA:Broad River (Landward) South Carolina	body														
SAMN41062473	Successfully loaded	WBHS60			Diopatra cuprea	145			estuary	2022	USA:Winyah Bay South Carolina	body														
SAMN41062474	Successfully loaded	WBHS15			Diopatra cuprea	146			estuary	2022	USA:Winyah Bay South Carolina	body														
SAMN41062475	Successfully loaded	BRLS14			Diopatra cuprea	147			estuary	2022	USA:Broad River (Landward) South Carolina	body														
SAMN41062476	Successfully loaded	MaWF53			Diopatra cuprea	148			estuary	2012	USA:Wellfleet Massachusetts	body														
SAMN41062477	Successfully loaded	BBHS27			Diopatra cuprea	149			estuary	2022	USA:Bulls Bay South Carolina	body														
SAMN41062478	Successfully loaded	MaBH22			Diopatra cuprea	150			estuary	2009	USA:Barnstable Harbor Massachusetts	body														
SAMN41062479	Successfully loaded	CHHS02			Diopatra cuprea	151			estuary	2022	USA:Charleston Harbor (Seaward) South Carolina	body														
SAMN41062480	Successfully loaded	NjRG34			Diopatra cuprea	152			estuary	2009	USA:Rutgers New Jersey	body														
SAMN41062481	Successfully loaded	BBHS02			Diopatra cuprea	153			estuary	2022	USA:Bulls Bay South Carolina	body														
SAMN41062482	Successfully loaded	VaWA17			Diopatra cuprea	154			estuary	2009	USA:Wachapreague Virginia	body														
SAMN41062483	Successfully loaded	SHHS07			Diopatra cuprea	155			estuary	2022	USA:St. Helena (Seaward) South Carolina	body														
SAMN41062484	Successfully loaded	FlFP05			Diopatra cuprea	156			estuary	2009	USA:Fort Pierce Florida	body														
SAMN41062485	Successfully loaded	NcFR01			Diopatra cuprea	157			estuary	2012	USA:North River Estuary North Carolina	body														
SAMN41062486	Successfully loaded	SHHS01			Diopatra cuprea	158			estuary	2022	USA:St. Helena (Seaward) South Carolina	body														
SAMN41062487	Successfully loaded	MaWF13			Diopatra cuprea	159			estuary	2012	USA:Wellfleet Massachusetts	body														
SAMN41062488	Successfully loaded	BRLS09			Diopatra cuprea	160			estuary	2022	USA:Broad River (Landward) South Carolina	body														
SAMN41062489	Successfully loaded	FlSB05			Diopatra cuprea	161			estuary	2012	USA:St. Teresa Beach Florida	body														
SAMN41062490	Successfully loaded	BRLS12			Diopatra cuprea	162			estuary	2022	USA:Broad River (Landward) South Carolina	body														
SAMN41062491	Successfully loaded	FlSB02			Diopatra cuprea	163			estuary	2012	USA:St. Teresa Beach Florida	body														
SAMN41062492	Successfully loaded	WBHS16			Diopatra cuprea	164			estuary	2022	USA:Winyah Bay South Carolina	body														
SAMN41062493	Successfully loaded	BBHS31			Diopatra cuprea	165			estuary	2022	USA:Bulls Bay South Carolina	body														
SAMN41062494	Successfully loaded	WBHS30			Diopatra cuprea	166			estuary	2022	USA:Winyah Bay South Carolina	body														
SAMN41062495	Successfully loaded	SHLS28			Diopatra cuprea	167			estuary	2022	USA:St. Helena (Landward) South Carolina	body														
SAMN41062496	Successfully loaded	CHLS18			Diopatra cuprea	168			estuary	2022	USA:Charleston Harbor (Landward) South Carolina	body														
SAMN41062497	Successfully loaded	MaBH20			Diopatra cuprea	169			estuary	2009	USA:Barnstable Harbor Massachusetts	body														
SAMN41062498	Successfully loaded	SHLS03			Diopatra cuprea	170			estuary	2022	USA:St. Helena (Landward) South Carolina	body														
SAMN41062499	Successfully loaded	FlSB12			Diopatra cuprea	171			estuary	2012	USA:St. Teresa Beach Florida	body														
SAMN41062500	Successfully loaded	WBHS50			Diopatra cuprea	172			estuary	2022	USA:Winyah Bay South Carolina	body														
SAMN41062501	Successfully loaded	BRHS05			Diopatra cuprea	173			estuary	2022	USA:Broad River (Seaward) South Carolina	body														
SAMN41062502	Successfully loaded	WBHS43			Diopatra cuprea	174			estuary	2022	USA:Winyah Bay South Carolina	body														
SAMN41062503	Successfully loaded	SHHS14			Diopatra cuprea	175			estuary	2022	USA:St. Helena (Seaward) South Carolina	body														
SAMN41062504	Successfully loaded	BRLS20			Diopatra cuprea	176			estuary	2022	USA:Broad River (Landward) South Carolina	body														
SAMN41062505	Successfully loaded	NjRG14			Diopatra cuprea	177			estuary	2009	USA:Rutgers New Jersey	body														
SAMN41062506	Successfully loaded	BRLS06			Diopatra cuprea	178			estuary	2022	USA:Broad River (Landward) South Carolina	body														
SAMN41062507	Successfully loaded	BRHS19			Diopatra cuprea	179			estuary	2022	USA:Broad River (Seaward) South Carolina	body														
SAMN41062508	Successfully loaded	SHLS32			Diopatra cuprea	180			estuary	2022	USA:St. Helena (Landward) South Carolina	body														
SAMN41062509	Successfully loaded	NcFR11			Diopatra cuprea	181			estuary	2012	USA:North River Estuary North Carolina	body														
SAMN41062510	Successfully loaded	CHHS37			Diopatra cuprea	182			estuary	2022	USA:Charleston Harbor (Seaward) South Carolina	body														
SAMN41062511	Successfully loaded	CHHS52			Diopatra cuprea	183			estuary	2022	USA:Charleston Harbor (Seaward) South Carolina	body														
SAMN41062512	Successfully loaded	NcFR02			Diopatra cuprea	184			estuary	2012	USA:North River Estuary North Carolina	body														
SAMN41062513	Successfully loaded	WBHS29			Diopatra cuprea	185			estuary	2022	USA:Winyah Bay South Carolina	body														
SAMN41062514	Successfully loaded	NcFR04			Diopatra cuprea	186			estuary	2012	USA:North River Estuary North Carolina	body														
SAMN41062515	Successfully loaded	CHLS24			Diopatra cuprea	187			estuary	2022	USA:Charleston Harbor (Landward) South Carolina	body														
SAMN41062516	Successfully loaded	BRHS04			Diopatra cuprea	188			estuary	2022	USA:Broad River (Seaward) South Carolina	body														
SAMN41062517	Successfully loaded	SHHS15			Diopatra cuprea	189			estuary	2022	USA:St. Helena (Seaward) South Carolina	body														
SAMN41062518	Successfully loaded	FlSB01			Diopatra cuprea	190			estuary	2012	USA:St. Teresa Beach Florida	body														
SAMN41062519	Successfully loaded	VaWA29			Diopatra cuprea	191			estuary	2009	USA:Wachapreague Virginia	body														
SAMN41062520	Successfully loaded	NcMV15			Diopatra cuprea	192			estuary	2012	USA:Mitchells Village North Carolina	body														
SAMN41062521	Successfully loaded	BBHS32			Diopatra cuprea	193			estuary	2022	USA:Bulls Bay South Carolina	body														
SAMN41062522	Successfully loaded	MaWF54			Diopatra cuprea	194			estuary	2012	USA:Wellfleet Massachusetts	body														
SAMN41062523	Successfully loaded	CHLS13			Diopatra cuprea	195			estuary	2022	USA:Charleston Harbor (Landward) South Carolina	body														
