plateID,New Code,Pop Defined,State,State Name,Pop Names,EstuaryLocal,mtHaplotype,mtHap Group,mtHap Subgroup
N13,CHHS03,Charleston Harbor (Seaward),South Carolina,South Carolina,Charleston Harbor,Coastal,NA,NA,NA
N14,BRHS09,Broad River (Seaward),South Carolina,South Carolina,Broad River,Coastal,NA,NA,NA
N15,WBHS38,Winyah Bay,South Carolina,South Carolina,Winyah Bay,Coastal,NA,NA,NA
N16,FlSB16,St. Teresa Beach,St. Teresa Beach,Florida,St. Teresa Beach,NA,Hap_3,A,A1
N18,CHHS05,Charleston Harbor (Seaward),South Carolina,South Carolina,Charleston Harbor,Coastal,NA,NA,NA
N19,SHHS03,St. Helena (Seaward),South Carolina,South Carolina,St. Helena,Coastal,NA,NA,NA
O01,FlSB14,St. Teresa Beach,St. Teresa Beach,Florida,St. Teresa Beach,NA,Hap_1,B,B
O02,NcFR12,North River Estuary,North Carolina,North Carolina,North River Estuary,NA,Hap_3,A,A1
O03,CHHS10,Charleston Harbor (Seaward),South Carolina,South Carolina,Charleston Harbor,Coastal,NA,NA,NA
O04,VaWA03,Wachapreague,Virginia,Virginia,Wachapreague,NA,Hap_1,B,B
O05,NcMV11,Mitchells Village,North Carolina,North Carolina,Mitchells Village,NA,Hap_1,B,B
O06,FlAM04,Amelia Island,Amelia Island,Florida,Amelia Island,NA,Hap_1,B,B
O07,NjRG16,Rutgers,New Jersey,New Jersey,Rutgers,NA,NA,NA,NA
O10,MaDB04,Duxbury,Massachusetts,Massachusetts,Duxbury,NA,NA,NA,NA
O11,NcMV43,Mitchells Village,North Carolina,North Carolina,Mitchells Village,NA,Hap_1,B,B
O12,BRLS10,Broad River (Landward),South Carolina,South Carolina,Broad River,Inland,NA,NA,NA
O13,CHHS16,Charleston Harbor (Seaward),South Carolina,South Carolina,Charleston Harbor,Coastal,NA,NA,NA
O14,MaWF52,Wellfleet,Massachusetts,Massachusetts,Wellfleet,NA,NA,NA,NA
O15,CHHS48,Charleston Harbor (Seaward),South Carolina,South Carolina,Charleston Harbor,Coastal,NA,NA,NA
O18,VaWA07,Wachapreague,Virginia,Virginia,Wachapreague,NA,NA,NA,NA
P01,CHLS04,Charleston Harbor (Landward),South Carolina,South Carolina,Charleston Harbor,Inland,NA,NA,NA
P03,MaWF56,Wellfleet,Massachusetts,Massachusetts,Wellfleet,NA,NA,NA,NA
P04,WBHS44,Winyah Bay,South Carolina,South Carolina,Winyah Bay,Coastal,NA,NA,NA
P05,FlSB08,St. Teresa Beach,St. Teresa Beach,Florida,St. Teresa Beach,NA,NA,NA,NA
P06,WBHS36,Winyah Bay,South Carolina,South Carolina,Winyah Bay,Coastal,NA,NA,NA
P07,CHLS29,Charleston Harbor (Landward),South Carolina,South Carolina,Charleston Harbor,Inland,NA,NA,NA
P08,FlSB17,St. Teresa Beach,St. Teresa Beach,Florida,St. Teresa Beach,NA,NA,NA,NA
P09,BRLS18,Broad River (Landward),South Carolina,South Carolina,Broad River,Inland,NA,NA,NA
P10,FlFP03,Fort Pierce,Fort Pierce,Florida,Fort Pierce,NA,Hap_13,A,A2
P11,SHLS26,St. Helena (Landward),South Carolina,South Carolina,St. Helena,Inland,NA,NA,NA
P12,CHLS30,Charleston Harbor (Landward),South Carolina,South Carolina,Charleston Harbor,Inland,NA,NA,NA
P15,WBHS56,Winyah Bay,South Carolina,South Carolina,Winyah Bay,Coastal,NA,NA,NA
P17,BRHS20,Broad River (Seaward),South Carolina,South Carolina,Broad River,Coastal,NA,NA,NA
P18,FlSB09,St. Teresa Beach,St. Teresa Beach,Florida,St. Teresa Beach,NA,Hap_8,A,A1
P19,SHHS06,St. Helena (Seaward),South Carolina,South Carolina,St. Helena,Coastal,NA,NA,NA
