"","V1","V2","V3","V4","V5","V6"
"NcMV31",0.312922,0.671923,9.9973e-05,0.014855,9.9973e-05,9.9973e-05
"NcFR07",0.460082,0.539518,9.9964e-05,9.9964e-05,9.9964e-05,9.9964e-05
"NcMV10",0.493235,0.315586,0.129645,0.061334,9.9982e-05,9.9982e-05
"NcMV20",0.0293115,0.970289,9.9964e-05,9.9964e-05,9.9964e-05,9.9964e-05
"NcMV44",0.117418,0.845054,9.9973e-05,0.0372278,9.9973e-05,9.9973e-05
"NcMV21",0.238655,0.74167,0.0153851,9.9982e-05,9.9982e-05,0.00408994
"NcFR10",0.0088906,0.0205881,0.201966,0.139876,0.102828,0.525852
"NcMV14",0.436195,0.563405,9.9964e-05,9.9964e-05,9.9964e-05,9.9964e-05
"NcFR06",0.459657,0.199331,0.339922,9.9982e-05,9.9982e-05,0.000890857
"NcFR08",9.9964e-05,0.982801,0.0167994,9.9964e-05,9.9964e-05,9.9964e-05
"NcFR01",0.186358,9.9973e-05,0.775475,0.0378671,9.9973e-05,9.9973e-05
"NcFR11",0.355204,0.29063,0.257582,0.0692451,9.9991e-05,0.0272386
"NcFR02",0.404535,0.586386,9.9973e-05,9.9973e-05,9.9973e-05,0.00877957
"NcFR04",0.00325908,0.940999,0.0554416,9.9973e-05,9.9973e-05,9.9973e-05
"NcMV15",9.9964e-05,0.968803,0.0307969,9.9964e-05,9.9964e-05,9.9964e-05
"NcFR12",0.209408,0.665145,0.0756623,0.0375839,0.0121006,9.9991e-05
"NcMV11",9.9973e-05,0.993656,0.00172996,9.9973e-05,9.9973e-05,0.0043145
"NcMV43",9.996e-05,0.9995,9.996e-05,9.996e-05,9.996e-05,9.996e-05
"VaWA26",0.22329,0.720316,0.0371581,9.9991e-05,0.00239419,0.0167417
"VaWA06",0.577101,0.363433,0.0400496,9.9982e-05,9.9982e-05,0.0192168
"VaWA13",0.438089,0.131968,0.378866,0.0174735,0.0311981,0.00240566
"VaWA24",0.322972,0.6603,9.9973e-05,0.0164282,9.9973e-05,9.9973e-05
"VaWA17",0.165554,0.8125,9.9973e-05,9.9973e-05,9.9973e-05,0.0216467
"VaWA29",9.9973e-05,0.914614,0.0805216,0.00456456,9.9973e-05,9.9973e-05
"VaWA02",0.445583,0.501405,0.02279,0.013354,9.9991e-05,0.0167679
"VaWA03",9.9991e-05,0.896654,0.0805199,0.0143987,0.00167242,0.00665457
